Country Name,Country Code,2021 [YR2021] - GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],2021 [YR2021] - GDP per capita (current US$) [NY.GDP.PCAP.CD]
Afghanistan,AFG,-22.965295860551,368.754614175459
Albania,ALB,9.52602704130273,6492.87201224634
Algeria,DZA,1.79841972865751,3690.62787797599
American Samoa,ASM,0.648377683091113,15743.3107582991
Andorra,AND,7.11048127496372,42137.3272710372
Angola,AGO,-2.05071669551312,1953.53375721508
Antigua and Barbuda,ATG,4.64409548337281,15781.3957017982
Argentina,ARG,9.35717585932072,10636.1201956183
Armenia,ARM,6.25422006797622,4966.51347122366
Aruba,ABW,17.2253003168657,29342.1008575886
Australia,AUS,2.10571122890686,60443.1091649968
Austria,AUT,4.10231717627012,53637.7057109897
Azerbaijan,AZE,5.13515857058169,5387.99797495383
"Bahamas, The",BHS,13.3196726263631,27478.3896289831
Bahrain,BHR,3.21765877991808,26562.9691354026
Bangladesh,BGD,5.71664509801528,2457.92487986361
Barbados,BRB,-0.369230329510742,17225.4623044097
Belarus,BLR,2.73401499005261,7302.25779418774
Belgium,BEL,5.63630819334442,51247.0143531626
Belize,BLZ,13.7542309064012,6228.26730928353
Benin,BEN,4.23897927889172,1319.1549945174
Bermuda,BMU,5.45644723713936,114090.328338579
Bhutan,BTN,3.42091053411337,3266.36490519183
Bolivia,BOL,4.84697248127921,3345.19658873831
Bosnia and Herzegovina,BIH,9.10616370393909,7143.3105484321
Botswana,BWA,9.56201764979674,6805.22127398897
Brazil,BRA,4.06787234871022,7507.16097080234
British Virgin Islands,VGB,..,..
Brunei Darussalam,BRN,-2.39682144248212,31449.0765620727
Bulgaria,BGR,8.51524959390686,12221.4966064171
Burkina Faso,BFA,4.11014034563209,893.077155776863
Burundi,BDI,-0.889127327127696,221.477676223363
Cabo Verde,CPV,5.9910272687455,3293.23305430614
Cambodia,KHM,1.83295801608998,1625.23501955454
Cameroon,CMR,0.953583606597761,1666.93273443122
Canada,CAN,3.96987471063636,51987.9390529728
Cayman Islands,CYM,0.606172724265349,86568.7696368603
Central African Republic,CAF,-1.21027956389845,461.137490166508
Chad,TCD,-4.27697878343668,685.690284124456
Channel Islands,CHI,..,..
Chile,CHL,10.5633595944143,16265.0959767147
China,CHN,8.01334525951592,12556.3331200058
Colombia,COL,9.41827880580655,6104.1367093039
Comoros,COM,0.190939004401898,1577.47102705052
"Congo, Dem. Rep.",COD,2.83237932472882,577.209215199828
"Congo, Rep.",COG,-4.43948919173256,2290.38289133244
Costa Rica,CRI,6.93558539226061,12472.4437294954
Cote d'Ivoire,CIV,4.44185528516307,2549.04129724734
Croatia,HRV,17.3839708686979,17685.3252834553
Cuba,CUB,1.65281715243313,..
Curacao,CUW,5.99595980839447,17717.5964802588
Cyprus,CYP,5.64995024883682,31551.81640625
Czechia,CZE,5.43741089278156,26821.2452279995
Denmark,DNK,4.40223118214453,68007.7566732954
Djibouti,DJI,3.35238354412549,3150.43672926335
Dominica,DMA,6.06757501603501,7653.17187042868
Dominican Republic,DOM,11.0782763127603,8476.75215730978
Ecuador,ECU,3.01037816290692,5965.13287054416
"Egypt, Arab Rep.",EGY,1.62731869155992,3698.83498105861
El Salvador,SLV,9.90409111652892,4551.18466141298
Equatorial Guinea,GNQ,-3.27359361315816,7506.66752306086
Eritrea,ERI,..,..
Estonia,EST,7.89903259794904,27943.701219882
Eswatini,SWZ,6.83222616296912,3978.4035281759
Ethiopia,ETH,2.92168551789752,925.077428048534
Faroe Islands,FRO,..,69010.3098011151
Fiji,FJI,-5.54140221290679,4646.6127232145
Finland,FIN,2.75999867445375,53654.7502964259
France,FRA,6.53511998290108,43658.9789781222
French Polynesia,PYF,0.322476752196081,19914.6035133645
Gabon,GAB,-0.644205944387821,8635.32569443437
"Gambia, The",GMB,1.6618920815892,772.152395143237
Georgia,GEO,10.8857019549027,5023.27437961979
Germany,DEU,2.58355747499036,51203.5544731043
Ghana,GHA,3.26228201937741,2363.29929621422
Gibraltar,GIB,..,..
Greece,GRC,9.0191093895881,20192.5963039061
Greenland,GRL,..,..
Grenada,GRD,3.89234576090496,9010.57224466261
Guam,GUM,0.285940325182395,35904.8635462723
Guatemala,GTM,6.39408498115625,5025.5422907779
Guinea,GIN,1.39114155084697,1189.17599946631
Guinea-Bissau,GNB,1.53870965139862,795.118569260485
Guyana,GUY,18.9609825500705,9998.54431136155
Haiti,HTI,-3.00580329140145,1829.59304417211
Honduras,HND,10.8197330689822,2771.71746050946
"Hong Kong SAR, China",HKG,7.31715172741315,49800.5424137576
Hungary,HUN,7.56143244030886,18728.1218948689
Iceland,ISL,2.70550037957837,68727.636664709
India,IND,7.81824896172292,2256.59040870506
Indonesia,IDN,2.97337518015345,4332.70928089396
"Iran, Islamic Rep.",IRN,3.96556869056239,4091.20918670534
Iraq,IRQ,0.477552175985551,4775.3774539013
Ireland,IRL,12.5098824583638,100172.079253421
Isle of Man,IMN,..,..
Israel,ISR,6.88491587571389,52170.7118623335
Italy,ITA,7.33169929256017,35657.4975631691
Jamaica,JAM,4.33148044608771,5183.58130458676
Japan,JPN,2.12572223161041,39312.6603730693
Jordan,JOR,0.214831659620245,4103.25896599583
Kazakhstan,KAZ,2.95338136101115,10373.7897924367
Kenya,KEN,5.44870932600492,2081.79985458438
Kiribati,KIR,-0.398882929059496,1606.46251377314
"Korea, Dem. People's Rep.",PRK,..,..
"Korea, Rep.",KOR,4.32920746061889,34997.7816427848
Kosovo,XKX,10.999527413316,5269.78390114389
Kuwait,KWT,..,..
Kyrgyz Republic,KGZ,1.87804035908474,1276.7003650159
Lao PDR,LAO,1.0693803143312,2535.6234315211
Latvia,LVA,4.94938519466102,21148.1629405415
Lebanon,LBN,-5.83236752120868,4136.14634699332
Lesotho,LSO,0.132493293255266,1094.09818489303
Liberia,LBR,2.84728210314857,675.66318584916
Libya,LBY,29.7859728554798,6357.19555043805
Liechtenstein,LIE,..,..
Lithuania,LTU,5.75573852568505,23723.3402510345
Luxembourg,LUX,3.51868697531805,133590.146975586
"Macao SAR, China",MAC,17.4737261457022,43873.5911643329
Madagascar,MDG,1.9093196932585,500.511031950657
Malawi,MWI,0.102880347419216,634.835660105302
Malaysia,MYS,1.944118177395,11109.2618387745
Maldives,MDV,39.8371601779231,10366.2933584066
Mali,MLI,-0.150902080045483,873.794862375503
Malta,MLT,9.61624093884438,33486.671983855
Marshall Islands,MHL,4.39230910482011,6172.14506539834
Mauritania,MRT,-0.137867842228914,2166.04679858214
Mauritius,MUS,3.67739976308155,9106.23720230699
Mexico,MEX,4.1363722123716,10045.6805004963
"Micronesia, Fed. Sts.",FSM,-4.06533058093541,3571.33676887856
Moldova,MDA,14.8129860841662,5230.66173289497
Monaco,MCO,22.3355113151992,234315.460503547
Mongolia,MNG,0.0141488605379863,4566.14015433014
Montenegro,MNE,12.8147624051294,9465.70399879557
Morocco,MAR,6.79037738085751,3795.38012695313
Mozambique,MOZ,-0.504357258920123,491.839112773674
Myanmar,MMR,-18.4849593721899,1209.92694225482
Namibia,NAM,0.990403649407796,4865.55776470864
Nauru,NRU,-0.0901206937894585,10648.1413901852
Nepal,NPL,1.86468062641489,1208.21853383767
Netherlands,NLD,4.31570449450686,57767.8788108173
New Caledonia,NCL,..,37159.5467662165
New Zealand,NZL,3.0580280155777,48781.0266328884
Nicaragua,NIC,8.81985648527825,2045.53540189014
Niger,NER,-2.30289627206129,590.629454795899
Nigeria,NGA,1.18282822285458,2065.74906750923
North Macedonia,MKD,4.33877056688965,6694.64112581709
Northern Mariana Islands,MNP,..,..
Norway,NOR,3.3268923407341,89154.2760934922
Oman,OMN,3.61516461650578,19509.4664633867
Pakistan,PAK,4.55184847596952,1505.01019279429
Palau,PLW,-13.5833703210534,12083.8881491345
Panama,PAN,13.8284356389775,14617.6044816372
Papua New Guinea,PNG,-1.71414804676887,2672.94579035518
Paraguay,PRY,2.7808445868079,5891.49996504641
Peru,PER,11.9687084471054,6621.57433601881
Philippines,PHL,4.13510874396911,3460.53096344408
Poland,POL,7.27781454455338,17999.9099495446
Portugal,PRT,5.19566757700593,24567.5092651
Puerto Rico,PRI,0.758705371085782,32640.710335631
Qatar,QAT,4.31736869552309,66838.357433014
Romania,ROU,5.89921300454141,14858.2294290445
Russian Federation,RUS,5.17723486485373,12194.77734375
Rwanda,RWA,8.28555616299475,822.3479885942
Samoa,WSM,-8.71342366069874,3857.31846401804
San Marino,SMR,..,..
